"RespID","wgtpop (in 10's)","wgthh (in 10's)","I am happy with my weight {sumax(X16600,C4,X16601,C3,X16602,C2,X16599,C1)}","Household Income {sumax(X85317370,C4.00,X85317368,C14.00,X85317373,C24.00,X85317369,C34.00,X85317374,C44.00,X24925,C54.00,X24935,C67.00,X24938,C87.00,X85317371,C112.00,X85317372,C137.00,X24929,C174.00,X24924,C224.00,X70839,C299.00,X70840,C424.00,X70841,C500.00)}","I am as close to my friend group as I am to my family {sumax(X91585726,C4,X91589417,C3,X91590927,C2,X91588007,C1)}","Faith: Holding to religious faith and belief {sumax(X14833,C2.5,X14834,C1,X14835,C4)}","I am perfectly happy with my standard of living {sumax(X91583243,C4,X91591993,C3,X91592876,C2,X91586625,C1)}","Politics {sumax(X61206,C1,X61209,C2,X61208,C3,X61210,C4,X61207,C5)}"
85001W855EGERMF,70,70,3,54,4,4,4,4
85001W855EHHHXG,191,191,4,137,1,4,4,5
85001W855ES2ECF,112,38,3,500,3,1,2,3
85001W855FHW576,99,34,3,112,4,4,2,1
85001W855FN5PBE,468,466,3,87,3,4,3,3
85001W855FV62GJ,239,121,2,112,4,1,3,1
85001W855GRHS8X,290,144,1,112,3,1,3,4
85001W855JKWJ49,902,225,2,44,4,1,2,3
85001W855M4CZEN,528,265,3,67,1,1,3,5
85001W855MPMHW6,70,35,3,112,3,1,3,4
85001W855NU5MHU,412,414,4,14,3,2,3,5
85001W855NZ8PV3,70,18,3,67,2,4,3,3
85001W855PNVKW1,208,105,1,137,3,1,4,3
85001W855Q93MCA,195,65,1,44,4,1,2,3
85001W855RZ7N9B,707,237,2,24,3,4,2,1
85001W855SK8JC3,1761,878,2,34,3,4,2,3
85001W855SSUEQY,70,70,4,54,3,4,3,3
85001W855TKYEKA,359,120,2,67,1,1,2,3
85001W855UBRUPB,139,70,2,424,2,2,3,4
85001W855V57PKX,306,77,2,34,2,4,3,5
85001W855VAAQP9,189,96,2,34,4,4,3,2
85001W855VS91W9,257,128,3,87,2,4,2,3
85001W855W9YRPM,391,197,2,174,4,1,4,4
85001W855WC74EN,75,75,3,112,2,4,3,5
85001W855WW5PNS,138,69,1,299,3,4,3,3
85001W855Y3AVE4,437,220,3,112,2,1,2,2
85001W855Z17PVF,218,110,3,24,2,4,3,3
85001W855ZVHQKY,347,117,2,34,2,1,1,4
85001W8561XFZ68,180,90,3,424,2,4,3,1
85001W8562T2XK3,566,141,2,137,2,1,4,4
85001W85631JSTM,273,272,2,112,3,4,3,4
85001W8563QWZ48,336,169,3,424,3,4,3,2
85001W8566VCEU8,1237,622,3,174,3,4,4,5
85001W8567SB5PZ,701,353,3,54,3,4,4,3
