"RespID","wgtpop (in 10's)","wgthh (in 10's)","I am happy with my weight {sumax(X16600,C4.000000,C4.000000,X16601,C3.000000,C3.000000,X16602,C2.000000,C2.000000,X16599,C1.000000,C1.000000)}","Household Income {sumax(X85317370,C4.00,X85317368,C14.00,X85317373,C24.00,X85317369,C34.00,X85317374,C44.00,X24925,C54.00,X24935,C67.00,X24938,C87.00,X85317371,C112.00,X85317372,C137.00,X24929,C174.00,X24924,C224.00,X70839,C299.00,X70840,C424.00,X70841,C500.00)}","I am as close to my friend group as I am to my family {sumax(X91585726,C4.000000,C4.000000,X91589417,C3.000000,C3.000000,X91590927,C2.000000,C2.000000,X91588007,C1.000000,C1.000000)}","Faith: Holding to religious faith and belief {sumax(X14833,C2.500000,C2.500000,X14834,C1.000000,C1.000000,X14835,C4.000000,C4.000000)}","I am perfectly happy with my standard of living {sumax(X91583243,C4.000000,X91591993,C3.000000,X91592876,C2.000000,X91586625,C1.000000)}","Very Conservative {X61206}","Somewhat Conservative {X61209}","Middle of the Road {X61208}","Somewhat Liberal {X61210}","Very Liberal {X61207}"
87001W873PECX9Y,565,279,3,54,4,2,2,0,0,1,0,0
87001W873RHPTAP,70,69,3,34,3,1,1,0,1,0,0,0
87001W873SHY762,133,66,3,112,4,1,3,0,0,0,1,0
87001W873SV4K74,70,23,4,67,4,1,3,0,1,0,0,0
87001W873TAC5CE,234,59,4,112,4,2,2,0,1,0,0,0
87001W873U1VQ6H,268,132,4,34,3,2,2,0,1,0,0,0
87001W873VM3FBK,156,77,4,67,4,2,3,0,1,0,0,0
87001W873VVZFN1,105,35,3,500,3,1,3,0,0,0,1,0
87001W873WKNHQW,126,124,4,24,4,1,3,0,1,0,0,0
87001W873XJ5GD5,1642,809,4,54,3,2,3,0,0,1,0,0
87001W873Z27K7Z,1244,620,3,112,3,2,3,0,0,1,0,0
87001W873Z2GC8S,70,23,4,87,3,2,3,0,0,1,0,0
87001W873Z3YM92,1236,153,4,44,4,1,3,0,0,0,0,1
87001W873ZPP33E,248,244,4,14,3,1,3,0,0,1,0,0
87001W8741G82XZ,111,56,3,87,3,1,3,0,0,0,0,1
87001W8742X863C,329,165,3,54,3,1,3,0,0,1,0,0
87001W8744R33N4,80,27,4,24,3,1,3,0,0,1,0,0
87001W8745365ES,70,35,4,87,4,2,2,1,0,0,0,0
87001W8747PPNM6,70,35,4,112,3,2,4,0,0,1,0,0
87001W8748HJZM9,334,111,3,44,3,1,3,0,0,1,0,0
87001W8749DWUEJ,461,154,3,54,4,2,3,0,0,0,0,1
87001W8749PBBDR,207,104,4,112,4,1,3,0,0,1,0,0
87001W874B9WCQ6,70,23,4,174,3,2,2,0,0,1,0,0
87001W874CQBKCD,130,65,4,112,4,2,4,0,1,0,0,0
87001W874E7G9MM,730,728,4,224,4,1,3,0,0,0,1,0
87001W874ENUCW6,70,35,4,112,4,1,3,0,0,0,1,0
87001W874F7ZCBK,222,111,3,424,4,1,2,0,0,1,0,0
87001W874HKTFVU,573,286,4,24,3,1,2,0,0,0,0,1
87001W874MUVY5S,192,63,4,112,4,1,3,0,0,1,0,0
87001W874MYJDZ3,1112,366,3,24,4,2,4,0,0,1,0,0
87001W874N49DDS,143,143,4,4,4,2,2,0,0,1,0,0
87001W874ND1JXH,203,68,3,137,3,2,3,1,0,0,0,0
87001W874NYGQVX,350,345,4,34,3,2,3,0,0,0,0,1
87001W874SKJV3C,138,68,3,67,3,1,3,0,1,0,0,0
87001W874T1QBFW,247,80,4,500,3,1,4,0,0,1,0,0
87001W874VZE1Q1,131,129,3,14,3,1,3,0,0,0,0,1
87001W874W389PW,499,166,3,4,4,1,3,0,0,0,1,0
87001W874W655TY,70,35,4,44,4,1,3,0,1,0,0,0
87001W874X8NUR6,147,37,4,424,4,2,3,0,0,1,0,0
87001W874XH19X2,157,79,3,87,4,2,2,0,0,0,1,0
87001W874YCP389,401,200,4,299,4,1,4,1,0,0,0,0
87001W874ZZG5RF,546,135,4,54,3,2,3,1,0,0,0,0
87001W874ZZNSQT,128,63,4,67,3,2,3,0,1,0,0,0
87001W8752YY9D9,480,237,4,224,3,2,2,0,0,0,0,1
